46100259,"['POI38', 'POI40', 'POI38', 'POI0', 'POI25', 'POI19', 'POI36', 'POI19', 'POI0', 'POI38', 'POI40']"
4610025e,['POI49']
46100260,"['POI19', 'POI38']"
46100261,['POI20']
46100263,[]
46100265,"['POI32', 'POI12', 'POI25', 'POI0', 'POI19', 'POI32']"
4610026d,"['POI18', 'POI41', 'POI3', 'POI41', 'POI28']"
4610026f,['POI0']
46100270,"['POI24', 'POI2']"
4610027b,"['POI38', 'POI19', 'POI25', 'POI19']"
4610027d,"['POI7', 'POI29', 'POI10', 'POI17', 'POI46', 'POI4', 'POI49', 'POI4', 'POI46']"
4610027e,"['POI20', 'POI7', 'POI20']"
46100280,"['POI10', 'POI17', 'POI46']"
46100281,"['POI18', 'POI37', 'POI6', 'POI41', 'POI3']"
46100283,"['POI1', 'POI4', 'POI46', 'POI17', 'POI10', 'POI29', 'POI7', 'POI19', 'POI12']"
46100285,[]
46100286,[]
46100287,"['POI12', 'POI19', 'POI25', 'POI19', 'POI32', 'POI5']"
