j_50_cd,left,top,right,bottom,xcoord,ycoord,oid_count
1396879,914100,1473300,914150,1473250,914125,1473275,11
1408980,915100,1496250,915150,1496200,915125,1496225,11
1411986,915300,1472950,915350,1472900,915325,1472925,11
1450276,918200,1474050,918250,1474000,918225,1474025,11
1470175,919800,1494000,919850,1493950,919825,1493975,11
1470815,919850,1494000,919900,1493950,919875,1493975,11
1500909,922250,1506100,922300,1506050,922275,1506075,11
1525320,924200,1489550,924250,1489500,924225,1489525,11
1581846,928750,1493850,928800,1493800,928775,1493825,11
1602865,930450,1491500,930500,1491450,930475,1491475,11
1632322,932950,1494850,933000,1494800,932975,1494825,11
1650364,934550,1507350,934600,1507300,934575,1507325,11
1687921,937900,1505700,937950,1505650,937925,1505675,11
1697812,938850,1481650,938900,1481600,938875,1481625,11
1743056,945600,1495750,945650,1495700,945625,1495725,11
1743372,945750,1495350,945800,1495300,945775,1495325,11
1743490,945800,1494250,945850,1494200,945825,1494225,11
1743624,945900,1495550,945950,1495500,945925,1495525,11
1744534,946750,1493550,946800,1493500,946775,1493525,11
1745070,947300,1497950,947350,1497900,947325,1497925,11
1022677,880550,1488200,880600,1488150,880575,1488175,10
1037941,882750,1489700,882800,1489650,882775,1489675,10
1038706,882850,1489750,882900,1489700,882875,1489725,10
1039087,882900,1490000,882950,1489950,882925,1489975,10
1039094,882900,1489650,882950,1489600,882925,1489625,10
1040260,883050,1490150,883100,1490100,883075,1490125,10
1044757,883600,1490000,883650,1489950,883625,1489975,10
1045162,883650,1490550,883700,1490500,883675,1490525,10
1046025,883750,1489300,883800,1489250,883775,1489275,10
1072461,886300,1476100,886350,1476050,886325,1476075,10
1082396,887200,1469050,887250,1469000,887225,1469025,10
1083282,887300,1479950,887350,1479900,887325,1479925,10
1087718,887700,1474450,887750,1474400,887725,1474425,10
1096557,888600,1495800,888650,1495750,888625,1495775,10
1106124,889500,1497050,889550,1497000,889525,1497025,10
1106674,889550,1497250,889600,1497200,889575,1497225,10
1109740,889800,1479850,889850,1479800,889825,1479825,10
1116917,890500,1497100,890550,1497050,890525,1497075,10
